Chr	NeBurnIn	nBottleneck	nGenBottleneck	nGenBreed	nBreed	SNPchipRefPop	Chr_specific_recomb_rate	Mutations	Sim_F_ROH	F_ROH_CI	Sim_ROH_hotspot_thr	ROH_hotspot_thr_CI	H_e_No_MAF	H_e_No_MAF_ci	H_e_5th_perc_No_MAF	H_e_MAF_0_05	H_e_MAF_0_05_ci	H_e_5th_perc_MAF_0_05	Sim_Cost_Result
chr1	6605	84	1	77	275	last_breed_formation_generation	False	TRUE	0.133	(0.129, 0.136)	0.247	(0.232, 0.261)	0.15048	(0.14958, 0.15138)	0.04197	0.32839	(0.32703, 0.32974)	0.18925	4.62563
chr1	6305	7	1	77	255	last_breed_formation_generation	False	TRUE	0.214	(0.204, 0.223)	0.435	(0.402, 0.467)	0.23293	(0.22964, 0.23622)	0.09226	0.35026	(0.34832, 0.35219)	0.22129	1.28534
chr1	6165	5	1	81	285	last_breed_formation_generation	False	TRUE	0.23	(0.218, 0.241)	0.468	(0.415, 0.521)	0.25363	(0.24914, 0.25811)	0.10598	0.35836	(0.35512, 0.36159)	0.23145	1.01665
chr1	6460	9	1	77	275	last_breed_formation_generation	False	TRUE	0.197	(0.189, 0.205)	0.398	(0.364, 0.431)	0.22153	(0.21899, 0.22408)	0.08824	0.34556	(0.34356, 0.34755)	0.21893	1.8787
chr1	6640	7	1	81	310	last_breed_formation_generation	False	TRUE	0.197	(0.188, 0.207)	0.386	(0.356, 0.416)	0.23853	(0.23517, 0.2419)	0.09927	0.34796	(0.34573, 0.35019)	0.22499	1.59142
chr1	6530	5	2	80	270	last_breed_formation_generation	False	TRUE	0.3	(0.285, 0.315)	0.67	(0.613, 0.727)	0.22806	(0.22269, 0.23343)	0.06895	0.3622	(0.35722, 0.36718)	0.21423	2.0906
chr1	6675	28	1	82	290	last_breed_formation_generation	False	TRUE	0.146	(0.142, 0.149)	0.283	(0.265, 0.301)	0.18177	(0.18038, 0.18317)	0.0643	0.33129	(0.33021, 0.33238)	0.2037	3.69087
chr1	6425	9	1	84	300	last_breed_formation_generation	False	TRUE	0.184	(0.176, 0.193)	0.374	(0.339, 0.409)	0.22433	(0.22163, 0.22703)	0.09161	0.34341	(0.34181, 0.34501)	0.21855	2.11875
chr1	6735	93	2	100	240	last_breed_formation_generation	False	TRUE	0.186	(0.179, 0.193)	0.406	(0.369, 0.443)	0.13627	(0.13486, 0.13767)	0.02551	0.33883	(0.33739, 0.34027)	0.18923	3.7509
chr1	6575	7	1	84	285	last_breed_formation_generation	False	TRUE	0.205	(0.196, 0.213)	0.41	(0.379, 0.441)	0.23589	(0.23298, 0.23879)	0.09717	0.35185	(0.35031, 0.3534)	0.22695	1.40931
chr1	6865	5	1	80	265	last_breed_formation_generation	False	TRUE	0.242	(0.231, 0.253)	0.52	(0.475, 0.565)	0.24872	(0.24511, 0.25233)	0.1014	0.3565	(0.35436, 0.35864)	0.22729	0.71464
chr1	6715	11	1	82	360	last_breed_formation_generation	False	TRUE	0.15	(0.146, 0.154)	0.297	(0.273, 0.322)	0.22329	(0.22174, 0.22483)	0.09799	0.33706	(0.33543, 0.33869)	0.21839	2.76746
chr1	6475	7	1	84	315	last_breed_formation_generation	False	TRUE	0.187	(0.179, 0.194)	0.373	(0.336, 0.41)	0.24064	(0.2378, 0.24348)	0.10516	0.34833	(0.34635, 0.3503)	0.22765	1.72927
chr1	6875	5	1	103	295	last_breed_formation_generation	False	TRUE	0.243	(0.235, 0.252)	0.556	(0.508, 0.604)	0.24206	(0.23833, 0.24578)	0.08956	0.35773	(0.35519, 0.36027)	0.22207	0.55638
chr1	6895	9	6	104	325	last_breed_formation_generation	False	TRUE	0.325	(0.306, 0.345)	0.755	(0.696, 0.815)	0.17373	(0.16847, 0.17899)	0.02852	0.36325	(0.35966, 0.36685)	0.19457	3.8802
chr1	6870	5	1	105	300	last_breed_formation_generation	False	TRUE	0.239	(0.228, 0.251)	0.553	(0.507, 0.60)	0.24162	(0.23704, 0.2462)	0.09062	0.35853	(0.35554, 0.36152)	0.22311	0.56651
chr1	6995	7	2	106	340	last_breed_formation_generation	False	TRUE	0.234	(0.222, 0.246)	0.526	(0.476, 0.577)	0.21798	(0.21355, 0.22242)	0.07461	0.35511	(0.35246, 0.35777)	0.2156	1.11334
chr1	6995	5	1	101	320	last_breed_formation_generation	False	TRUE	0.22	(0.209, 0.231)	0.45	(0.413, 0.487)	0.24986	(0.24564, 0.25408)	0.10231	0.35665	(0.3542, 0.35911)	0.22725	1.06034
chr1	6890	8	1	106	310	last_breed_formation_generation	False	TRUE	0.193	(0.186, 0.20)	0.406	(0.365, 0.447)	0.22463	(0.22159, 0.22767)	0.08732	0.34903	(0.34686, 0.3512)	0.22125	1.85946
chr1	6995	10	13	102	305	last_breed_formation_generation	False	TRUE	0.514	(0.481, 0.547)	0.99	(0.98, 0.999)	0.12107	(0.11263, 0.12951)	0	0.36626	(0.36008, 0.37245)	0.1626	8.32537
chr1	6830	7	2	104	535	last_breed_formation_generation	False	TRUE	0.198	(0.186, 0.21)	0.408	(0.363, 0.453)	0.2283	(0.22441, 0.23219)	0.08998	0.35334	(0.35062, 0.35607)	0.22608	1.81136
chr1	6865	5	1	103	295	last_breed_formation_generation	False	TRUE	0.233	(0.224, 0.243)	0.502	(0.459, 0.546)	0.24485	(0.24025, 0.24946)	0.09437	0.35681	(0.35461, 0.35902)	0.22198	0.59333
chr1	6995	7	1	105	305	last_breed_formation_generation	False	TRUE	0.202	(0.195, 0.209)	0.451	(0.398, 0.503)	0.23022	(0.22835, 0.23209)	0.09101	0.35097	(0.34911, 0.35283)	0.22261	1.45942
chr1	6880	5	1	105	320	last_breed_formation_generation	False	TRUE	0.238	(0.227, 0.248)	0.547	(0.495, 0.598)	0.24325	(0.23931, 0.2472)	0.09257	0.35802	(0.35553, 0.36051)	0.22326	0.53359
chr1	6890	9	1	104	315	last_breed_formation_generation	False	TRUE	0.192	(0.182, 0.201)	0.409	(0.381, 0.437)	0.2179	(0.21507, 0.22072)	0.0865	0.34537	(0.34366, 0.34707)	0.21924	1.97984
chr1	6915	12	1	103	330	last_breed_formation_generation	False	TRUE	0.167	(0.16, 0.175)	0.335	(0.311, 0.359)	0.20933	(0.20706, 0.2116)	0.08208	0.34149	(0.33999, 0.34298)	0.21636	2.73649
chr1	6910	7	2	104	325	last_breed_formation_generation	False	TRUE	0.236	(0.227, 0.244)	0.545	(0.506, 0.584)	0.21747	(0.21439, 0.22054)	0.07012	0.35729	(0.35443, 0.36015)	0.2186	0.96119
chr1	6895	5	1	106	330	last_breed_formation_generation	False	TRUE	0.226	(0.214, 0.238)	0.494	(0.433, 0.555)	0.24733	(0.2427, 0.25197)	0.09561	0.35797	(0.35559, 0.36036)	0.22549	0.87708
chr1	6890	9	2	101	335	last_breed_formation_generation	False	TRUE	0.21	(0.20, 0.22)	0.441	(0.402, 0.481)	0.21191	(0.20932, 0.2145)	0.07416	0.35266	(0.35022, 0.3551)	0.21953	1.7694
chr1	6885	7	1	106	325	last_breed_formation_generation	False	TRUE	0.195	(0.187, 0.204)	0.442	(0.392, 0.492)	0.23145	(0.22846, 0.23444)	0.09113	0.34954	(0.34808, 0.35099)	0.22239	1.604
chr1	6895	5	1	103	320	last_breed_formation_generation	False	TRUE	0.227	(0.218, 0.237)	0.494	(0.446, 0.543)	0.24606	(0.2425, 0.24961)	0.09574	0.3561	(0.35335, 0.35885)	0.22278	0.72823
chr1	6820	7	1	105	315	last_breed_formation_generation	False	TRUE	0.202	(0.195, 0.209)	0.438	(0.391, 0.485)	0.23005	(0.22728, 0.23282)	0.08931	0.35078	(0.34893, 0.35263)	0.2209	1.51172
chr1	6790	5	1	103	340	last_breed_formation_generation	False	TRUE	0.218	(0.208, 0.227)	0.465	(0.429, 0.502)	0.24852	(0.24437, 0.25267)	0.09968	0.35618	(0.35455, 0.35782)	0.22602	0.97325
chr1	6895	88	2	106	320	last_breed_formation_generation	False	TRUE	0.145	(0.141, 0.149)	0.281	(0.263, 0.30)	0.14523	(0.14431, 0.14615)	0.03539	0.33294	(0.33179, 0.3341)	0.19298	4.46208
chr1	6805	39	1	103	310	last_breed_formation_generation	False	TRUE	0.151	(0.146, 0.155)	0.303	(0.277, 0.329)	0.1661	(0.16446, 0.16773)	0.05035	0.33398	(0.33254, 0.33542)	0.19909	3.94082
chr1	7000	11	1	105	315	last_breed_formation_generation	False	TRUE	0.18	(0.174, 0.185)	0.383	(0.355, 0.41)	0.21003	(0.20815, 0.21191)	0.07912	0.34366	(0.34178, 0.34554)	0.21661	2.32429
chr1	6775	9	1	107	335	last_breed_formation_generation	False	TRUE	0.175	(0.171, 0.18)	0.383	(0.349, 0.417)	0.22218	(0.2203, 0.22405)	0.08727	0.3451	(0.34336, 0.34685)	0.22078	2.15268
chr1	6880	7	1	104	305	last_breed_formation_generation	False	TRUE	0.201	(0.193, 0.209)	0.436	(0.401, 0.47)	0.2321	(0.22884, 0.23537)	0.09227	0.35161	(0.34995, 0.35327)	0.22334	1.45624
chr1	7000	5	3	102	300	last_breed_formation_generation	False	TRUE	0.359	(0.341, 0.378)	0.812	(0.762, 0.863)	0.19795	(0.19182, 0.20409)	0.03708	0.36595	(0.36126, 0.37064)	0.19241	3.9841
chr1	6785	8	2	107	315	last_breed_formation_generation	False	TRUE	0.238	(0.225, 0.252)	0.538	(0.494, 0.581)	0.20832	(0.20365, 0.21298)	0.0663	0.35448	(0.35197, 0.357)	0.21194	1.31664
chr1	6990	5	1	104	300	last_breed_formation_generation	False	TRUE	0.233	(0.221, 0.246)	0.522	(0.477, 0.567)	0.24365	(0.2389, 0.2484)	0.09382	0.35792	(0.35557, 0.36027)	0.22362	0.57971
chr1	1605	68	1	104	315	last_breed_formation_generation	False	TRUE	0.167	(0.162, 0.172)	0.363	(0.32, 0.407)	0.14967	(0.14811, 0.15122)	0.03045	0.33065	(0.32876, 0.33253)	0.17903	3.93604
chr1	6970	7	1	103	345	last_breed_formation_generation	False	TRUE	0.194	(0.185, 0.203)	0.413	(0.38, 0.446)	0.23317	(0.23024, 0.23609)	0.09465	0.34966	(0.34787, 0.35146)	0.22173	1.62714
chr1	6990	10	2	105	330	last_breed_formation_generation	False	TRUE	0.207	(0.20, 0.215)	0.48	(0.438, 0.523)	0.20563	(0.20327, 0.20798)	0.07014	0.34953	(0.34756, 0.3515)	0.21609	1.76307
chr1	6995	14	1	107	320	last_breed_formation_generation	False	TRUE	0.167	(0.162, 0.171)	0.338	(0.312, 0.363)	0.20266	(0.20146, 0.20386)	0.07498	0.3411	(0.33969, 0.3425)	0.21478	2.79195
chr1	6995	78	1	106	300	last_breed_formation_generation	False	TRUE	0.149	(0.145, 0.153)	0.294	(0.273, 0.316)	0.1473	(0.14603, 0.14857)	0.03702	0.33372	(0.33236, 0.33508)	0.19053	4.34354
chr1	6995	5	1	103	305	last_breed_formation_generation	False	TRUE	0.226	(0.217, 0.235)	0.487	(0.453, 0.522)	0.24708	(0.24366, 0.25049)	0.098	0.35716	(0.35473, 0.35958)	0.22469	0.72539
chr1	6810	7	2	102	325	last_breed_formation_generation	False	TRUE	0.233	(0.222, 0.244)	0.512	(0.45, 0.575)	0.21973	(0.21618, 0.22327)	0.07542	0.35787	(0.35503, 0.3607)	0.22121	1.14161
chr1	6785	9	1	105	300	last_breed_formation_generation	False	TRUE	0.192	(0.184, 0.199)	0.404	(0.364, 0.445)	0.21711	(0.21448, 0.21973)	0.0827	0.3474	(0.34556, 0.34923)	0.21813	2.03663
chr1	6795	5	1	108	310	last_breed_formation_generation	False	TRUE	0.247	(0.235, 0.259)	0.591	(0.551, 0.632)	0.23829	(0.23323, 0.24334)	0.08467	0.35945	(0.35641, 0.36249)	0.2164	0.85183
chr1	6870	7	1	104	350	last_breed_formation_generation	False	TRUE	0.184	(0.177, 0.191)	0.381	(0.342, 0.42)	0.23615	(0.23333, 0.23898)	0.09909	0.34902	(0.34778, 0.35026)	0.22548	1.82769
chr1	6760	5	1	102	305	last_breed_formation_generation	False	TRUE	0.227	(0.217, 0.237)	0.494	(0.452, 0.536)	0.24805	(0.24429, 0.25181)	0.09744	0.35618	(0.35335, 0.35902)	0.22261	0.75321
chr1	6890	9	1	107	315	last_breed_formation_generation	False	TRUE	0.191	(0.183, 0.199)	0.438	(0.376, 0.501)	0.2178	(0.21557, 0.22003)	0.08303	0.3487	(0.34735, 0.35005)	0.22249	1.99169
chr1	3345	7	1	102	300	last_breed_formation_generation	False	TRUE	0.211	(0.202, 0.221)	0.494	(0.44, 0.548)	0.23114	(0.22778, 0.2345)	0.07999	0.35106	(0.34921, 0.35292)	0.21251	1.21822
chr1	6720	11	2	105	330	last_breed_formation_generation	False	TRUE	0.194	(0.187, 0.202)	0.442	(0.39, 0.494)	0.20496	(0.20227, 0.20765)	0.07118	0.34718	(0.34575, 0.3486)	0.21385	2.16027
chr1	2425	72	1	105	310	last_breed_formation_generation	False	TRUE	0.163	(0.158, 0.167)	0.331	(0.308, 0.354)	0.14807	(0.1464, 0.14973)	0.03046	0.33101	(0.33002, 0.332)	0.18284	4.02863
chr1	6785	5	1	103	295	last_breed_formation_generation	False	TRUE	0.246	(0.236, 0.256)	0.568	(0.524, 0.612)	0.23903	(0.2345, 0.24356)	0.08638	0.36036	(0.35751, 0.36322)	0.22339	0.72559
chr1	6995	8	1	108	295	last_breed_formation_generation	False	TRUE	0.201	(0.194, 0.208)	0.433	(0.406, 0.459)	0.22217	(0.21997, 0.22437)	0.08354	0.35104	(0.34922, 0.35287)	0.22034	1.60054
chr1	6890	6	2	101	310	last_breed_formation_generation	False	TRUE	0.261	(0.249, 0.273)	0.59	(0.546, 0.633)	0.22053	(0.21646, 0.22461)	0.07006	0.35617	(0.35367, 0.35866)	0.2086	1.36975
chr1	6740	7	1	107	475	last_breed_formation_generation	False	TRUE	0.161	(0.154, 0.168)	0.342	(0.311, 0.373)	0.24234	(0.23899, 0.24569)	0.10877	0.34612	(0.34448, 0.34776)	0.22729	2.1496
chr1	6715	5	2	102	295	last_breed_formation_generation	False	TRUE	0.302	(0.277, 0.326)	0.729	(0.662, 0.796)	0.21957	(0.21087, 0.22828)	0.05827	0.36249	(0.35831, 0.36668)	0.20717	2.68905
chr38	6990	9	1	104	325	last_breed_formation_generation	False	TRUE	0.191	(0.178, 0.205)	0.359	(0.329, 0.389)	0.21833	(0.21342, 0.22324)	0.09629	0.34725	(0.34357, 0.35094)	0.22935	2.30625
chr1	6880	5	1	106	295	last_breed_formation_generation	False	TRUE	0.231	(0.223, 0.24)	0.485	(0.447, 0.522)	0.24593	(0.24218, 0.24968)	0.09419	0.35831	(0.3561, 0.36053)	0.22689	0.65836
chr1	6990	7	1	104	320	last_breed_formation_generation	False	TRUE	0.195	(0.186, 0.204)	0.401	(0.368, 0.434)	0.23357	(0.23033, 0.23681)	0.09625	0.35015	(0.34899, 0.35131)	0.22505	1.65691
chr1	6830	12	1	106	310	last_breed_formation_generation	False	TRUE	0.176	(0.17, 0.182)	0.364	(0.329, 0.398)	0.20635	(0.20426, 0.20844)	0.07616	0.34296	(0.34094, 0.34497)	0.21507	2.58443
chr21	6895	5	15	106	305	last_breed_formation_generation	False	TRUE	0.779	(0.722, 0.836)	1	(1.00, 1.00)	0.06689	(0.05061, 0.08318)	0	0.36285	(0.34161, 0.38409)	0.17667	13.78956
chr1	6990	9	1	103	300	last_breed_formation_generation	False	TRUE	0.193	(0.187, 0.199)	0.407	(0.38, 0.435)	0.21873	(0.21682, 0.22064)	0.08505	0.34723	(0.34514, 0.34932)	0.22005	1.87495
chr1	6995	7	1	109	320	last_breed_formation_generation	False	TRUE	0.202	(0.194, 0.21)	0.449	(0.40, 0.498)	0.22963	(0.22685, 0.23242)	0.08671	0.35291	(0.35129, 0.35453)	0.22111	1.49286
chr2	6865	5	1	107	295	last_breed_formation_generation	False	TRUE	0.241	(0.227, 0.255)	0.5	(0.455, 0.545)	0.23966	(0.23463, 0.2447)	0.08656	0.35955	(0.35654, 0.36256)	0.22036	0.87858
chr1	7000	10	2	108	310	last_breed_formation_generation	False	TRUE	0.211	(0.202, 0.22)	0.482	(0.448, 0.516)	0.20452	(0.20177, 0.20726)	0.06958	0.35024	(0.34798, 0.35249)	0.21586	1.71895
chr1	6720	7	1	105	295	last_breed_formation_generation	False	TRUE	0.217	(0.204, 0.23)	0.478	(0.431, 0.526)	0.22507	(0.22051, 0.22963)	0.08434	0.35085	(0.34877, 0.35294)	0.2168	1.37745
chr1	6820	5	1	108	310	last_breed_formation_generation	False	TRUE	0.24	(0.229, 0.252)	0.543	(0.49, 0.596)	0.24045	(0.23583, 0.24507)	0.08768	0.35803	(0.35589, 0.36017)	0.21901	0.66336
chr1	7000	8	2	108	345	last_breed_formation_generation	False	TRUE	0.22	(0.209, 0.232)	0.489	(0.435, 0.543)	0.21393	(0.20956, 0.21829)	0.07335	0.35373	(0.35169, 0.35577)	0.2166	1.51849
chr1	6845	74	1	103	325	last_breed_formation_generation	False	TRUE	0.141	(0.138, 0.144)	0.272	(0.254, 0.291)	0.15043	(0.1494, 0.15147)	0.04044	0.33215	(0.33041, 0.33389)	0.19272	4.43192
chr1	6860	5	1	108	335	last_breed_formation_generation	False	TRUE	0.226	(0.218, 0.235)	0.499	(0.454, 0.543)	0.2452	(0.24229, 0.24811)	0.09455	0.35676	(0.35461, 0.35891)	0.22082	0.66202
chr1	7000	7	1	109	335	last_breed_formation_generation	False	TRUE	0.206	(0.199, 0.213)	0.47	(0.429, 0.512)	0.22649	(0.22378, 0.2292)	0.08591	0.34997	(0.3474, 0.35253)	0.2171	1.3814
chr1	6775	5	1	109	345	last_breed_formation_generation	False	TRUE	0.223	(0.213, 0.234)	0.501	(0.459, 0.543)	0.24607	(0.2417, 0.25044)	0.09539	0.35589	(0.35312, 0.35866)	0.22066	0.7577
chr1	6855	10	8	108	330	last_breed_formation_generation	False	TRUE	0.355	(0.332, 0.378)	0.775	(0.713, 0.836)	0.16038	(0.1539, 0.16686)	0.01709	0.36901	(0.3658, 0.37222)	0.19244	4.69269
chr1	6855	8	1	107	355	last_breed_formation_generation	False	TRUE	0.181	(0.176, 0.186)	0.396	(0.365, 0.427)	0.22705	(0.22531, 0.2288)	0.09018	0.34714	(0.34537, 0.34892)	0.22089	1.90424
chr1	6865	5	2	109	340	last_breed_formation_generation	False	TRUE	0.278	(0.259, 0.297)	0.64	(0.571, 0.709)	0.22457	(0.21746, 0.23167)	0.06763	0.36089	(0.35668, 0.3651)	0.2092	1.90558
chr1	6735	7	1	106	340	last_breed_formation_generation	False	TRUE	0.198	(0.192, 0.205)	0.449	(0.40, 0.499)	0.23168	(0.2289, 0.23446)	0.09247	0.34947	(0.34786, 0.35108)	0.22043	1.49341
chr1	6880	35	1	107	330	last_breed_formation_generation	False	TRUE	0.147	(0.142, 0.152)	0.303	(0.272, 0.334)	0.17058	(0.16903, 0.17212)	0.05512	0.33421	(0.33328, 0.33515)	0.2	3.94029
chr1	6735	12	2	106	325	last_breed_formation_generation	False	TRUE	0.192	(0.184, 0.201)	0.408	(0.381, 0.436)	0.20041	(0.19797, 0.20286)	0.07032	0.34692	(0.34515, 0.3487)	0.21519	2.31524
chr1	6865	9	1	108	320	last_breed_formation_generation	False	TRUE	0.181	(0.175, 0.187)	0.401	(0.357, 0.445)	0.22105	(0.21881, 0.22329)	0.08695	0.34684	(0.34512, 0.34856)	0.22017	2.10123
chr1	6695	5	1	110	335	last_breed_formation_generation	False	TRUE	0.224	(0.212, 0.235)	0.472	(0.427, 0.517)	0.24558	(0.24104, 0.25012)	0.09557	0.35788	(0.35649, 0.35927)	0.22415	0.88062
chr1	6845	7	1	106	315	last_breed_formation_generation	False	TRUE	0.204	(0.196, 0.213)	0.426	(0.388, 0.464)	0.22815	(0.22506, 0.23124)	0.08924	0.35174	(0.3495, 0.35399)	0.22014	1.55889
chr1	6705	5	1	109	330	last_breed_formation_generation	False	TRUE	0.215	(0.209, 0.221)	0.462	(0.434, 0.49)	0.24813	(0.24572, 0.25054)	0.0978	0.3567	(0.35359, 0.35982)	0.22345	0.90262
chr1	6995	7	2	105	355	last_breed_formation_generation	False	TRUE	0.231	(0.215, 0.248)	0.537	(0.463, 0.611)	0.21951	(0.21397, 0.22505)	0.07511	0.35417	(0.35026, 0.35807)	0.2195	1.22991
chr1	7000	10	11	105	375	last_breed_formation_generation	False	TRUE	0.456	(0.418, 0.493)	0.907	(0.853, 0.961)	0.13448	(0.12518, 0.14379)	0.00314	0.36398	(0.35687, 0.37109)	0.17411	7.15244
chr1	6770	8	1	108	315	last_breed_formation_generation	False	TRUE	0.19	(0.185, 0.196)	0.412	(0.368, 0.455)	0.22539	(0.22345, 0.22733)	0.08921	0.34922	(0.34736, 0.35107)	0.21974	1.82205
chr1	7000	5	1	105	370	last_breed_formation_generation	False	TRUE	0.218	(0.207, 0.229)	0.491	(0.434, 0.549)	0.2481	(0.24423, 0.25196)	0.09836	0.35519	(0.35262, 0.35776)	0.22313	0.96315
chr1	6675	7	1	104	320	last_breed_formation_generation	False	TRUE	0.196	(0.186, 0.207)	0.398	(0.358, 0.438)	0.23226	(0.22858, 0.23595)	0.09502	0.35029	(0.34828, 0.3523)	0.22152	1.75232
chr1	6855	5	1	110	320	last_breed_formation_generation	False	TRUE	0.226	(0.216, 0.236)	0.546	(0.487, 0.604)	0.24423	(0.23952, 0.24894)	0.09413	0.35593	(0.35421, 0.35766)	0.22261	0.57664
chr1	6690	9	1	108	335	last_breed_formation_generation	False	TRUE	0.18	(0.173, 0.187)	0.374	(0.346, 0.402)	0.21955	(0.21691, 0.22219)	0.0875	0.34541	(0.34418, 0.34663)	0.21839	2.20181
chr1	6855	6	2	110	330	last_breed_formation_generation	False	TRUE	0.256	(0.241, 0.271)	0.561	(0.513, 0.609)	0.21858	(0.21308, 0.22408)	0.06828	0.35842	(0.35541, 0.36143)	0.2123	1.34321
chr1	6805	7	1	112	335	last_breed_formation_generation	False	TRUE	0.196	(0.186, 0.205)	0.424	(0.377, 0.471)	0.23041	(0.22599, 0.23482)	0.09113	0.35123	(0.34914, 0.35332)	0.22099	1.71571
chr1	6685	11	2	111	350	last_breed_formation_generation	False	TRUE	0.19	(0.183, 0.196)	0.451	(0.40, 0.501)	0.2049	(0.20281, 0.20698)	0.07237	0.34581	(0.34402, 0.34759)	0.21485	2.14598
chr9	6870	5	3	111	325	last_breed_formation_generation	False	TRUE	0.35	(0.316, 0.385)	0.707	(0.633, 0.782)	0.20055	(0.18962, 0.21147)	0.04762	0.36908	(0.36122, 0.37694)	0.20647	3.79819
chr1	7000	8	1	109	345	last_breed_formation_generation	False	TRUE	0.184	(0.178, 0.19)	0.399	(0.357, 0.44)	0.22731	(0.22494, 0.22968)	0.09101	0.34919	(0.34716, 0.35121)	0.22464	1.92449
chr28	6715	5	1	111	320	last_breed_formation_generation	False	TRUE	0.222	(0.206, 0.238)	0.457	(0.411, 0.503)	0.24703	(0.24132, 0.25274)	0.10475	0.35678	(0.35289, 0.36068)	0.23034	1.09007
chr1	6760	9	1	107	320	last_breed_formation_generation	False	TRUE	0.186	(0.179, 0.193)	0.401	(0.363, 0.44)	0.21896	(0.21652, 0.22141)	0.08416	0.34595	(0.34455, 0.34735)	0.21746	2.07236
chr1	6865	7	1	109	340	last_breed_formation_generation	False	TRUE	0.194	(0.186, 0.201)	0.408	(0.384, 0.432)	0.23095	(0.22852, 0.23339)	0.09172	0.35006	(0.34834, 0.35179)	0.22114	1.61388
chr20	6635	14	2	107	315	last_breed_formation_generation	False	TRUE	0.205	(0.192, 0.218)	0.453	(0.398, 0.508)	0.19156	(0.18771, 0.1954)	0.06681	0.34511	(0.34274, 0.34748)	0.21566	2.37798
chr1	3185	5	1	110	330	last_breed_formation_generation	False	TRUE	0.231	(0.223, 0.239)	0.529	(0.473, 0.586)	0.24528	(0.24172, 0.24883)	0.08217	0.35611	(0.35403, 0.3582)	0.21269	0.52842
chr1	2680	7	1	109	360	last_breed_formation_generation	False	TRUE	0.194	(0.185, 0.202)	0.428	(0.395, 0.461)	0.23336	(0.23069, 0.23603)	0.08103	0.34807	(0.34624, 0.34989)	0.20846	1.55484
chr1	3140	10	1	113	355	last_breed_formation_generation	False	TRUE	0.18	(0.173, 0.187)	0.39	(0.355, 0.425)	0.21527	(0.21271, 0.21782)	0.07488	0.34477	(0.34305, 0.34648)	0.20876	2.26375
chr1	3065	5	1	112	345	last_breed_formation_generation	False	TRUE	0.23	(0.218, 0.241)	0.502	(0.457, 0.546)	0.24534	(0.24128, 0.2494)	0.08221	0.35539	(0.3531, 0.35769)	0.21161	0.65863
chr1	3090	7	2	111	350	last_breed_formation_generation	False	TRUE	0.243	(0.227, 0.259)	0.532	(0.479, 0.585)	0.21637	(0.21027, 0.22248)	0.06027	0.35584	(0.35333, 0.35836)	0.20636	1.3317
chr1	3310	9	1	113	335	last_breed_formation_generation	False	TRUE	0.191	(0.186, 0.197)	0.413	(0.39, 0.436)	0.21824	(0.2156, 0.22088)	0.07448	0.34725	(0.34559, 0.3489)	0.20834	1.87394
chr38	3425	5	1	111	360	last_breed_formation_generation	False	TRUE	0.22	(0.202, 0.239)	0.414	(0.351, 0.476)	0.2502	(0.24235, 0.25805)	0.09891	0.3513	(0.34802, 0.35458)	0.21634	1.51896
chr1	3200	7	1	114	335	last_breed_formation_generation	False	TRUE	0.205	(0.20, 0.211)	0.47	(0.432, 0.507)	0.22941	(0.22686, 0.23197)	0.07799	0.35201	(0.35063, 0.35338)	0.21284	1.2828
chr1	2885	12	2	115	350	last_breed_formation_generation	False	TRUE	0.197	(0.187, 0.207)	0.448	(0.411, 0.485)	0.19993	(0.19686, 0.203)	0.05917	0.34446	(0.34224, 0.34667)	0.19923	2.19014
chr1	2965	5	1	112	340	last_breed_formation_generation	False	TRUE	0.222	(0.212, 0.232)	0.492	(0.442, 0.542)	0.24954	(0.24537, 0.25371)	0.08577	0.35746	(0.356, 0.35892)	0.21451	0.89895
chr1	4585	9	1	113	345	last_breed_formation_generation	False	TRUE	0.18	(0.175, 0.186)	0.402	(0.367, 0.437)	0.22056	(0.21806, 0.22307)	0.08275	0.3461	(0.34513, 0.34707)	0.21551	2.07346
chr21	2995	48	1	114	350	last_breed_formation_generation	False	TRUE	0.156	(0.15, 0.162)	0.308	(0.269, 0.346)	0.16039	(0.15882, 0.16195)	0.04344	0.33196	(0.32957, 0.33434)	0.18901	4.08761
chr1	3560	7	2	107	335	last_breed_formation_generation	False	TRUE	0.256	(0.238, 0.274)	0.562	(0.496, 0.629)	0.21051	(0.20428, 0.21675)	0.05415	0.35452	(0.35097, 0.35808)	0.20012	1.62941
chr2	2720	5	1	110	340	last_breed_formation_generation	False	TRUE	0.222	(0.21, 0.234)	0.473	(0.431, 0.515)	0.24825	(0.24365, 0.25284)	0.08337	0.35653	(0.35378, 0.35929)	0.2118	0.95256
chr1	3155	7	4	109	340	last_breed_formation_generation	False	TRUE	0.327	(0.312, 0.342)	0.772	(0.717, 0.827)	0.18872	(0.184, 0.19343)	0.02305	0.363	(0.3587, 0.36729)	0.19009	3.57815
chr1	3080	9	1	112	325	last_breed_formation_generation	False	TRUE	0.189	(0.183, 0.196)	0.437	(0.397, 0.477)	0.21957	(0.217, 0.22214)	0.07504	0.34522	(0.3438, 0.34664)	0.20762	1.87743
chr1	3135	64	1	106	360	last_breed_formation_generation	False	TRUE	0.14	(0.137, 0.143)	0.265	(0.248, 0.282)	0.15499	(0.154, 0.15598)	0.03963	0.32835	(0.3271, 0.3296)	0.18412	4.37638
chr1	3265	5	14	111	360	last_breed_formation_generation	False	TRUE	0.773	(0.73, 0.816)	1	(1.00, 1.00)	0.06949	(0.05668, 0.0823)	0	0.36407	(0.35153, 0.3766)	0.14633	13.29027
